string_external_id,abundance
YER124C,3082.44074
YER126C,8655.808529
YER127W,1431.411266
YER128W,966.596862
YER129W,752.325536
YER131W,503125.4583
YER132C,814.957372
YER133W,14599.37886
YER134C,6185.581127
YER136W,7282.745061
YER139C,5480.729474
YER143W,6512.436698
YER144C,299.519102
YER145C,8374.530145
YER147C,906.714285
YER149C,7820.703709
YER151C,2205.345518
YER152C,1390.900226
YER153C,468.39465
YER154W,6547.765027
YER155C,1232.71254
YER156C,6081.633924
YER157W,4144.908566
YER158C,783.798887
YER159C,5127.436254
YER161C,1239.692946
YER162C,876.399694
YER163C,1295.187544
YER164W,1616.855581
YER165W,197889.8675
YER168C,13524.86871
YER169W,2229.450427
YER170W,704.480663
YER171W,14431.75839
YER172C,1444.850698
YER173W,752.325536
YER174C,7795.810069
YER175C,936.775973
YER176W,736.464618
YER177W,157574.6126
YER178W,100203.323
YER182W,1923.060261
YER183C,468.39465
YFL001W,5863.992636
YFL002C,5739.118732
YFL004W,2914.868826
YFL006W,1498.298948
YFL007W,2595.30427
YFL008W,5705.20707
YFL010C,6024.121888
YFL013C,1390.900226
YFL014W,4485.082266
YFL016C,7572.878254
YFL017C,2548.860755
YFL017W-A,1404.436492
YFL018C,24567.36552
YFL021W,1183.565989
YFL023W,1295.187544
YFL024C,1112.447872
YFL027C,572.55651
YFL028C,1616.855581
YFL030W,338.777852
YFL031W,8965.919913
YFL034C-A,74715.51673
YFL034C-B,2253.48995
YFL034W,1112.447872
YFL041W,2835.839687
YFL044C,2767.657162
YFL045C,3497.215661
YFL047W,1746.07334
YFL048C,2903.612241
YFL049W,3181.886481
YFL050C,2132.627524
YFL060C,194.711698
YFR001W,3651.727589
YFR002W,15545.46074
YFR003C,1083.681248
YFR004W,16352.99291
YFR005C,166.944936
YFR007W,160.586302
YFR008W,486.132248
YFR009W,14629.60927
YFR010W,6772.880063
YFR011C,3553.78712
YFR013W,1771.624875
YFR014C,1524.843187
YFR015C,6301.716046
YFR016C,704.480663
YFR017C,639.376549
YFR018C,3970.612643
YFR019W,148.811243
YFR021W,1564.443453
YFR024C,18037.73953
YFR024C-A,3671.414453
YFR025C,4276.968159
YFR026C,720.517291
YFR028C,8553.19253
YFR030W,1577.587385
YFR031C,3291.473224
YFR032C-A,51129.43052
YFR033C,4485.082266
YFR037C,3380.844095
YFR039C,3170.875939
YFR040W,5955.33142
YFR044C,22293.26603
YFR046C,1295.187544
YFR047C,2664.580961
YFR048W,655.803216
YFR049W,2046.992119
YFR050C,16919.42057
YFR051C,17957.12668
YFR052W,9889.445675
YFR053C,40790.59737
YFR054C,299.519102
YFR055W,2606.882407
YGL001C,2577.912647
YGL004C,2205.345518
YGL005C,1363.727534
YGL006W,98.941523
